run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,CDF1,CDF2,CDF3,AerobicExercise,CitrusFruitExtractSupplementation,ModerateIntensityExercise,RedWine
SRR5936079,411475,strain,0.0636,Flavonifractor plautii ATCC 29863,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234;s__Flavonifractor plautii__292800;st__Flavonifractor plautii ATCC 29863__411475,0.9995333465606832,0.9768567235817324,0.9768213478760877,0.9768637540958576,0.9981211084134196,0.9994440305170704,0.9994559496879524,0.9987253931201994
SRR5936079,292800,species,0.0636,Flavonifractor plautii,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234;s__Flavonifractor plautii__292800,0.9990557324387164,0.9154440151804928,0.915369251998233,0.9154569500299462,0.9975659393028622,0.99908385624807,0.9991059444552756,0.9981690134705216
SRR5936079,946234,genus,0.0659,Flavonifractor,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234,0.9990799927574636,0.9065385402198916,0.9064205165476742,0.9065782501619186,0.9976100408978922,0.999109927954088,0.9991322200812373,0.9982115412526468
SRR5936079,216572,family,0.1635999999999998,Oscillospiraceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572,0.7128875358995672,0.0373591875133583,0.0377786514607317,0.0368519150803399,0.7472579497902724,0.6831287183196075,0.7633845055874827,0.5644845543542238
SRR5936079,186802,order,0.2079999999999997,Eubacteriales,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802,0.7270514682264386,0.0288149090614678,0.0297074654494849,0.0283842078899248,0.6495105010949291,0.5884969830804488,0.6697872765907356,0.4566541349578741
SRR5936079,186801,class,0.5117999999999996,Clostridia,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801,0.849517527787876,0.021965325849362,0.021988318301534,0.0217940801749662,0.7147463234242794,0.8570570460417432,0.8504041378430139,0.7039436977015295
SRR5936079,1239,phylum,0.7901999999999993,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239,0.9706968655300404,0.0034517073126736,0.0034492963726641,0.0031919219697345,0.9812434745843136,0.9755042283694596,0.9711983318588652,0.8555605274405508
SRR5936079,1783272,clade,0.8270999999999993,Terrabacteria group,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272,0.9232899649507328,0.0010575061598065,0.001070068803089,0.0010177177933398,0.9392895846326316,0.9286587284308474,0.926371779961116,0.8244987216898748
SRR5936079,2,superkingdom,0.9979999999999992,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.623488457310321,0.0002040399918384,0.0002040399918384,0.0002040399918384,0.8471407501904122,0.8457457661701104,0.8091862544084174,0.8099465033655786
SRR5936079,131567,no rank,0.9979999999999992,cellular organisms,n__cellular organisms__131567,0.5349945034810918,0.0002040399918384,0.0002040399918384,0.0002040399918384,0.7548587071830671,0.7520914099162948,0.6940223854580332,0.6951553483282362
